Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans,Outcome
3,113,339.0,37.667,0.41,0.47200000000000003,13.9,139,160,10, positive
3,59,177.0,19.667,0.475,0.475,84.0,84,84,1, positive
2,20,40.0,10.0,0.675,0.675,27.0,27,27,1, positive
2,101,202.0,50.5,0.54,0.743,10.9,109,150,10, positive
4,194,776.0,48.5,0.263,0.273,34.0,204,212,6, positive
2,18,36.0,9.0,0.667,0.6940000000000001,24.0,24,25,1, positive
2,22,44.0,11.0,0.75,0.75,33.0,33,33,1, positive
2,18,36.0,9.0,0.8059999999999999,0.833,29.0,29,30,1, positive
2,22,44.0,11.0,0.705,0.8640000000000001,15.5,31,38,2, positive
3,116,348.0,38.667,0.385,0.494,33.5,134,172,4, positive
1,10,10.0,10.0,1.0,1.0,10.0,10,10,1, positive
1,13,13.0,13.0,1.0,1.0,13.0,13,13,1, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
1,44,44.0,44.0,0.25,1.0,2.2,11,44,5, positive
2,20,40.0,10.0,0.725,0.875,29.0,29,35,1, positive
2,20,40.0,10.0,0.775,0.85,31.0,31,34,1, positive
3,113,339.0,37.667,0.35700000000000004,0.37799999999999995,30.25,121,128,4, positive
98,3,294.0,0.031,0.48,0.486,141.0,141,143,1, positive
2,48,96.0,24.0,0.625,0.677,30.0,60,65,2, positive
3,116,348.0,38.667,0.35600000000000004,0.371,62.0,124,129,2, positive
2,18,36.0,9.0,0.722,0.722,26.0,26,26,1, positive
3,132,396.0,44.0,0.505,0.5579999999999999,20.0,200,221,10, positive
1,17,17.0,17.0,0.765,1.0,3.25,13,17,4, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
2,69,138.0,34.5,0.623,0.9059999999999999,10.75,86,125,8, positive
2,46,92.0,23.0,0.5870000000000001,0.7609999999999999,18.0,54,70,3, positive
1,57,57.0,57.0,0.456,1.0,3.71,26,57,7, positive
1,10,10.0,10.0,0.9,1.0,9.0,9,10,1, positive
2,116,232.0,58.0,0.616,0.802,17.88,143,186,8, positive
2,17,34.0,8.5,0.588,0.971,6.67,20,33,3, positive
1,43,43.0,43.0,0.907,1.0,9.75,39,43,4, positive
19,2,38.0,0.105,0.816,0.816,31.0,31,31,1, positive
5,2,10.0,0.4,0.8,0.8,8.0,8,8,1, positive
10,2,20.0,0.2,0.55,0.6,11.0,11,12,1, positive
2,112,224.0,56.0,0.496,0.504,55.5,111,113,2, positive
1,45,45.0,45.0,0.7559999999999999,1.0,5.67,34,45,6, positive
1,75,75.0,75.0,0.813,1.0,5.55,61,75,11, positive
2,157,314.0,78.5,0.506,0.551,26.5,159,173,6, positive
1,32,32.0,32.0,0.7190000000000001,1.0,5.75,23,32,4, positive
1,52,52.0,52.0,0.7879999999999999,1.0,10.25,41,52,4, positive
1,13,13.0,13.0,0.6920000000000001,1.0,4.5,9,13,2, positive
94,2,188.0,0.021,0.516,0.516,97.0,97,97,1, positive
2,123,246.0,61.5,0.5,0.504,123.0,123,124,1, positive
1,36,36.0,36.0,0.722,1.0,8.67,26,36,3, positive
4,2,8.0,0.5,0.875,0.875,7.0,7,7,1, positive
1,19,19.0,19.0,0.789,1.0,3.75,15,19,4, positive
1,9,9.0,9.0,0.778,1.0,7.0,7,9,1, positive
2,446,892.0,223.0,0.439,0.603,17.82,392,538,22, positive
66,3,198.0,0.045,0.657,0.909,2.6,130,180,50, positive
93,4,372.0,0.043,0.419,0.565,2.89,156,210,54, positive
44,3,132.0,0.068,0.598,0.841,2.47,79,111,32, positive
42,7,294.0,0.16699999999999998,0.282,0.43200000000000005,2.18,83,127,38, positive
2,236,472.0,118.0,0.5660000000000001,0.6890000000000001,10.27,267,325,26, positive
1,61,61.0,61.0,1.0,1.0,61.0,61,61,1, positive
48,402,19296.0,8.375,0.055,0.094,4.13,1058,1814,256, positive
304,463,140752.0,1.5230000000000001,0.063,0.121,3.91,8898,17081,2273, positive
3,213,639.0,71.0,0.318,0.379,11.94,203,242,17, positive
306,465,142290.0,1.52,0.055,0.12300000000000001,2.69,7861,17452,2925, positive
45,79,3555.0,1.756,0.087,0.195,4.81,308,693,64, positive
1,152,152.0,152.0,0.8220000000000001,1.0,11.36,125,152,11, positive
1,51,51.0,51.0,0.47100000000000003,1.0,2.4,24,51,10, positive
19,462,8778.0,24.316,0.523,0.688,16.88,4591,6035,272, positive
1,52,52.0,52.0,0.981,1.0,51.0,51,52,1, positive
1,52,52.0,52.0,0.5379999999999999,1.0,14.0,28,52,2, positive
1,33,33.0,33.0,1.0,1.0,33.0,33,33,1, positive
1,124,124.0,124.0,0.444,1.0,7.86,55,124,7, positive
1,75,75.0,75.0,0.92,1.0,11.5,69,75,6, positive
1,8,8.0,8.0,0.875,1.0,7.0,7,8,1, positive
1,40,40.0,40.0,1.0,1.0,40.0,40,40,1, positive
1,55,55.0,55.0,0.564,1.0,10.33,31,55,3, positive
1,115,115.0,115.0,0.2,1.0,4.6,23,115,5, positive
1,11,11.0,11.0,1.0,1.0,11.0,11,11,1, positive
1,46,46.0,46.0,0.7829999999999999,1.0,12.0,36,46,3, positive
2,64,128.0,32.0,0.531,0.586,17.0,68,75,4, positive
4,115,460.0,28.75,0.426,0.48700000000000004,17.82,196,224,11, positive
311,463,143993.0,1.489,0.08800000000000001,0.16,3.93,12631,23092,3212, positive
12,146,1752.0,12.167,0.091,0.128,26.67,160,225,6, positive
17,2,34.0,0.11800000000000001,0.706,0.706,24.0,24,24,1, positive
1,48,48.0,48.0,0.875,1.0,10.5,42,48,4, positive
1,29,29.0,29.0,0.586,1.0,2.13,17,29,8, positive
1,17,17.0,17.0,0.41200000000000003,1.0,1.75,7,17,4, positive
28,330,9240.0,11.786,0.057,0.066,31.0,527,614,17, positive
212,464,98368.0,2.189,0.052000000000000005,0.07,11.84,5066,6884,428, positive
3,286,858.0,95.333,0.406,0.42700000000000005,87.0,348,366,4, positive
1,18,18.0,18.0,0.9440000000000001,1.0,17.0,17,18,1, positive
1,7,7.0,7.0,1.0,1.0,7.0,7,7,1, positive
1,117,117.0,117.0,0.39299999999999996,1.0,5.75,46,117,8, positive
1,77,77.0,77.0,0.40299999999999997,1.0,5.17,31,77,6, positive
1,40,40.0,40.0,0.875,1.0,11.67,35,40,3, positive
1,28,28.0,28.0,0.9640000000000001,1.0,27.0,27,28,1, positive
1,35,35.0,35.0,0.8290000000000001,1.0,9.67,29,35,3, positive
1,14,14.0,14.0,0.5710000000000001,1.0,2.0,8,14,4, positive
1,23,23.0,23.0,0.826,1.0,19.0,19,23,1, positive
1,19,19.0,19.0,0.684,1.0,4.33,13,19,3, positive
8,16,128.0,2.0,0.156,0.8590000000000001,5.0,20,110,4, positive
9,10,90.0,1.111,0.14400000000000002,0.522,6.5,13,47,2, positive
1,79,79.0,79.0,0.608,1.0,6.86,48,79,7, positive
1,11,11.0,11.0,0.727,1.0,4.0,8,11,2, positive
1,98,98.0,98.0,0.9390000000000001,1.0,30.67,92,98,3, positive
1,13,13.0,13.0,0.6920000000000001,1.0,3.0,9,13,3, positive
1,17,17.0,17.0,0.8240000000000001,1.0,4.67,14,17,3, positive
52,461,23972.0,8.865,0.192,0.248,11.52,4607,5938,400, positive
1,15,15.0,15.0,0.867,1.0,6.5,13,15,2, positive
9,13,117.0,1.444,0.10300000000000001,0.752,4.0,12,88,3, positive
6,7,42.0,1.167,0.23800000000000002,0.69,10.0,10,29,1, positive
76,1,76.0,0.013000000000000001,1.0,1.0,76.0,76,76,1, positive
1,37,37.0,37.0,0.8109999999999999,1.0,6.0,30,37,5, positive
1,46,46.0,46.0,0.239,1.0,1.38,11,46,8, positive
1,42,42.0,42.0,0.31,1.0,2.6,13,42,5, positive
2,176,352.0,88.0,0.528,0.605,31.0,186,213,6, positive
69,3,207.0,0.043,0.643,0.9520000000000001,2.08,133,197,64, positive
1,17,17.0,17.0,0.882,1.0,7.5,15,17,2, positive
1,39,39.0,39.0,0.897,1.0,8.75,35,39,4, positive
1,44,44.0,44.0,0.909,1.0,20.0,40,44,2, positive
1,14,14.0,14.0,0.929,1.0,13.0,13,14,1, positive
1,36,36.0,36.0,0.583,1.0,4.2,21,36,5, positive
1,17,17.0,17.0,0.765,1.0,6.5,13,17,2, positive
2,14,28.0,7.0,0.28600000000000003,0.821,8.0,8,23,1, positive
3,183,549.0,61.0,0.488,0.5770000000000001,29.78,268,317,9, positive
1,29,29.0,29.0,1.0,1.0,29.0,29,29,1, positive
1,14,14.0,14.0,0.929,1.0,13.0,13,14,1, positive
1,45,45.0,45.0,0.9329999999999999,1.0,21.0,42,45,2, positive
25,300,7500.0,12.0,0.065,0.071,40.33,484,531,12, positive
2,50,100.0,25.0,0.46,0.51,15.33,46,51,3, positive
12,2,24.0,0.16699999999999998,0.625,0.667,15.0,15,16,1, positive
2,204,408.0,102.0,0.41200000000000003,0.6809999999999999,10.5,168,278,16, positive
1,35,35.0,35.0,0.857,1.0,10.0,30,35,3, positive
6,142,852.0,23.666999999999998,0.115,0.17300000000000001,6.53,98,147,15, positive
261,30,7830.0,0.115,0.063,0.09,2.4,492,701,205, positive
1,14,14.0,14.0,0.857,1.0,12.0,12,14,1, positive
1,69,69.0,69.0,0.841,1.0,8.29,58,69,7, positive
1,148,148.0,148.0,0.9590000000000001,1.0,47.33,142,148,3, positive
1,84,84.0,84.0,0.917,1.0,19.25,77,84,4, positive
1,73,73.0,73.0,0.616,1.0,3.75,45,73,12, positive
21,2,42.0,0.095,0.738,0.738,31.0,31,31,1, positive
38,70,2660.0,1.8419999999999999,0.059000000000000004,0.062,19.63,157,165,8, positive
1,147,147.0,147.0,0.8640000000000001,1.0,11.55,127,147,11, positive
1,17,17.0,17.0,0.941,1.0,16.0,16,17,1, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
36,172,6192.0,4.7780000000000005,0.128,0.337,4.84,793,2086,164, positive
26,1,26.0,0.038,1.0,1.0,26.0,26,26,1, positive
13,1,13.0,0.077,1.0,1.0,13.0,13,13,1, positive
17,1,17.0,0.059000000000000004,1.0,1.0,17.0,17,17,1, positive
11,1,11.0,0.091,1.0,1.0,11.0,11,11,1, positive
7,9,63.0,1.286,0.14300000000000002,0.23800000000000002,9.0,9,15,1, positive
37,72,2664.0,1.946,0.12,0.257,7.64,321,685,42, positive
13,1,13.0,0.077,1.0,1.0,13.0,13,13,1, positive
14,1,14.0,0.071,1.0,1.0,14.0,14,14,1, positive
2,6,12.0,3.0,0.667,1.0,4.0,8,12,2, positive
23,1,23.0,0.043,1.0,1.0,23.0,23,23,1, positive
13,1,13.0,0.077,1.0,1.0,13.0,13,13,1, positive
15,1,15.0,0.067,1.0,1.0,15.0,15,15,1, positive
3,54,162.0,18.0,0.364,0.519,8.43,59,84,7, positive
49,79,3871.0,1.6119999999999999,0.084,0.179,7.36,324,694,44, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
39,70,2730.0,1.795,0.09,0.255,7.0,245,697,35, positive
3,11,33.0,3.667,0.364,0.667,3.0,12,22,4, positive
31,71,2201.0,2.29,0.159,0.29600000000000004,10.29,350,651,34, positive
3,304,912.0,101.33,0.555,0.6859999999999999,42.17,506,626,12, positive
153,442,67626.0,2.889,0.114,0.215,6.27,7689,14538,1227, positive
3,259,777.0,86.333,0.41100000000000003,0.48100000000000004,13.29,319,374,24, positive
47,286,13442.0,6.085,0.183,0.317,4.67,2459,4258,526, positive
36,96,3456.0,2.667,0.096,0.207,7.7,331,717,43, positive
5,333,1665.0,66.6,0.374,0.413,36.65,623,688,17, positive
43,62,2666.0,1.442,0.08,0.17,6.63,212,454,32, positive
2,6,12.0,3.0,0.667,1.0,4.0,8,12,2, positive
33,28,924.0,0.848,0.098,0.271,5.69,91,250,16, positive
17,60,1020.0,3.529,0.139,0.371,7.1,142,378,20, positive
10,1,10.0,0.1,1.0,1.0,10.0,10,10,1, positive
5,7,35.0,1.4,0.22899999999999998,0.6,2.67,8,21,3, positive
9,17,153.0,1.889,0.14400000000000002,0.45799999999999996,3.14,22,70,7, positive
4,8,32.0,2.0,0.344,0.531,5.5,11,17,2, positive
85,69,5865.0,0.812,0.165,0.441,1.44,969,2588,674, positive
13,13,169.0,1.0,0.124,0.45,3.5,21,76,6, positive
14,19,266.0,1.357,0.128,0.541,2.83,34,144,12, positive
14,19,266.0,1.357,0.113,0.504,30.0,30,134,1, positive
15,14,210.0,0.9329999999999999,0.11,0.33799999999999997,1.92,23,71,12, positive
7,24,168.0,3.429,0.10099999999999999,0.298,1.89,17,50,9, positive
5,12,60.0,2.4,0.133,0.267,4.0,8,16,2, positive
8,5,40.0,0.625,0.275,0.45,3.67,11,18,3, positive
4,5,20.0,1.25,0.35,0.8,2.33,7,16,3, positive
7,15,105.0,2.1430000000000002,0.114,0.295,2.4,12,31,5, positive
7,13,91.0,1.857,0.154,0.484,2.0,14,44,7, positive
4,7,28.0,1.75,0.28600000000000003,1.0,2.0,8,28,4, positive
4,5,20.0,1.25,0.35,0.8,2.33,7,16,3, positive
5,3,15.0,0.6,0.467,0.6,3.5,7,9,2, positive
5,9,45.0,1.8,0.17800000000000002,0.5329999999999999,1.6,8,24,5, positive
100,49,4900.0,0.49,0.09300000000000001,0.4,1.77,458,1958,259, positive
16,30,480.0,1.875,0.133,0.47100000000000003,2.29,64,226,28, positive
10,7,70.0,0.7,0.157,0.6,1.57,11,42,7, positive
6,5,30.0,0.833,0.233,0.633,1.75,7,19,4, positive
6,12,72.0,2.0,0.139,0.514,1.43,10,37,7, positive
81,49,3969.0,0.605,0.113,0.39799999999999996,2.26,449,1580,199, positive
6,6,36.0,1.0,0.19399999999999998,0.41700000000000004,3.5,7,15,2, positive
6,9,54.0,1.5,0.14800000000000002,0.29600000000000004,4.0,8,16,2, positive
21,68,1428.0,3.238,0.052000000000000005,0.109,5.69,74,156,13, positive
7,47,329.0,6.7139999999999995,0.158,0.289,5.78,52,95,9, positive
13,8,104.0,0.615,0.154,0.769,1.07,16,80,15, positive
8,1,8.0,0.125,0.875,1.0,7.0,7,8,1, positive
8,9,72.0,1.125,0.125,0.319,4.5,9,23,2, positive
2,49,98.0,24.5,0.51,0.51,50.0,50,50,1, positive
804,11,8844.0,0.013999999999999999,0.191,0.233,15.64,1689,2058,108, positive
1,114,114.0,114.0,0.9390000000000001,1.0,21.4,107,114,5, positive
1,41,41.0,41.0,0.927,1.0,12.67,38,41,3, positive
1,33,33.0,33.0,0.667,1.0,3.67,22,33,6, positive
1,106,106.0,106.0,0.858,1.0,15.17,91,106,6, positive
1,27,27.0,27.0,0.40700000000000003,1.0,1.83,11,27,6, positive
1,41,41.0,41.0,0.78,1.0,4.57,32,41,7, positive
1,22,22.0,22.0,0.5,1.0,1.83,11,22,6, positive
1,65,65.0,65.0,0.6459999999999999,1.0,3.0,42,65,14, positive
9,6,54.0,0.667,0.40700000000000003,0.519,5.5,22,28,4, positive
10,12,120.0,1.2,0.20800000000000002,0.583,1.67,25,70,15, positive
24,18,432.0,0.75,0.139,0.377,2.07,60,163,29, positive
14,17,238.0,1.214,0.113,0.387,1.8,27,92,15, positive
22,22,484.0,1.0,0.107,0.473,1.79,52,229,29, positive
16,4,64.0,0.25,0.156,0.531,5.0,10,34,2, positive
8,1,8.0,0.125,0.875,1.0,7.0,7,8,1, positive
16,21,336.0,1.3130000000000002,0.095,0.515,1.6,32,173,20, positive
13,5,65.0,0.385,0.12300000000000001,0.5379999999999999,8.0,8,35,1, positive
7,11,77.0,1.571,0.11699999999999999,0.494,1.8,9,38,5, positive
36,48,1728.0,1.3330000000000002,0.14300000000000002,0.43700000000000006,3.58,247,755,69, positive
55,48,2640.0,0.873,0.142,0.364,4.26,375,960,88, positive
53,48,2544.0,0.9059999999999999,0.18100000000000002,0.374,4.69,460,951,98, positive
29,48,1392.0,1.655,0.11599999999999999,0.268,5.06,162,373,32, positive
27,4,108.0,0.14800000000000002,0.33299999999999996,0.667,2.57,36,72,14, positive
21,4,84.0,0.19,0.31,0.643,3.71,26,54,7, positive
19,47,893.0,2.474,0.078,0.11199999999999999,3.89,70,100,18, positive
7,46,322.0,6.571000000000001,0.177,0.304,8.14,57,98,7, positive
2,9,18.0,4.5,0.556,0.556,10.0,10,10,1, positive
2,46,92.0,23.0,0.511,0.5539999999999999,47.0,47,51,1, positive
1,127,127.0,127.0,0.6459999999999999,1.0,13.67,82,127,6, positive
1,13,13.0,13.0,0.846,1.0,5.5,11,13,2, positive
3,129,387.0,43.0,0.305,0.377,11.8,118,146,10, positive
5,7,35.0,1.4,0.2,0.314,7.0,7,11,1, positive
13,5,65.0,0.385,0.32299999999999995,0.5539999999999999,5.25,21,36,4, positive
25,9,225.0,0.36,0.187,0.436,2.47,42,98,17, positive
8,4,32.0,0.5,0.43799999999999994,0.594,7.0,14,19,2, positive
17,9,153.0,0.529,0.209,0.49700000000000005,1.88,32,76,17, positive
5,4,20.0,0.8,0.45,0.65,4.5,9,13,2, positive
9,4,36.0,0.444,0.25,0.75,9.0,9,27,1, positive
12,4,48.0,0.33299999999999996,0.292,1.0,2.0,14,48,7, positive
6,5,30.0,0.833,0.36700000000000005,1.0,2.2,11,30,5, positive
6,13,78.0,2.167,0.10300000000000001,0.449,4.0,8,35,2, positive
4,11,44.0,2.75,0.159,0.932,1.75,7,41,4, positive
54,48,2592.0,0.889,0.14300000000000002,0.264,6.85,370,685,54, positive
53,48,2544.0,0.9059999999999999,0.157,0.26899999999999996,7.84,400,685,51, positive
52,48,2496.0,0.9229999999999999,0.138,0.248,7.67,345,619,45, positive
27,4,108.0,0.14800000000000002,0.38,0.75,2.56,41,81,16, positive
8,1,8.0,0.125,1.0,1.0,8.0,8,8,1, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
6,47,282.0,7.832999999999999,0.20199999999999999,0.20199999999999999,57.0,57,57,1, positive
4,19,76.0,4.75,0.276,0.382,5.25,21,29,4, positive
1,47,47.0,47.0,1.0,1.0,47.0,47,47,1, positive
1,86,86.0,86.0,0.93,1.0,40.0,80,86,2, positive
1,17,17.0,17.0,1.0,1.0,17.0,17,17,1, positive
1,19,19.0,19.0,0.737,1.0,4.67,14,19,3, positive
6,21,126.0,3.5,0.24600000000000002,0.254,31.0,31,32,1, positive
8,16,128.0,2.0,0.39799999999999996,0.695,2.55,51,89,20, positive
68,34,2312.0,0.5,0.22399999999999998,0.526,2.44,519,1215,213, positive
67,30,2010.0,0.44799999999999995,0.16899999999999998,0.46,2.26,339,924,150, positive
20,39,780.0,1.95,0.14,0.405,3.21,109,316,34, positive
6,17,102.0,2.833,0.13699999999999998,0.627,2.8,14,64,5, positive
2,14,28.0,7.0,0.46399999999999997,0.536,13.0,13,15,1, positive
37,20,740.0,0.541,0.131,0.193,4.22,97,143,23, positive
34,25,850.0,0.735,0.256,0.534,2.06,218,454,106, positive
34,27,918.0,0.794,0.21899999999999997,0.5539999999999999,3.09,201,509,65, positive
36,43,1548.0,1.194,0.11699999999999999,0.183,3.07,181,283,59, positive
16,29,464.0,1.8130000000000002,0.14400000000000002,0.496,2.58,67,230,26, positive
9,2,18.0,0.222,0.611,0.722,11.0,11,13,1, positive
86,67,5762.0,0.779,0.16399999999999998,0.935,2.37,947,5386,399, positive
101,99,9999.0,0.98,0.14,0.778,2.02,1398,7780,691, positive
2,536,1072.0,268.0,0.505,0.512,180.33,541,549,3, positive
2,536,1072.0,268.0,0.5379999999999999,0.737,30.37,577,790,19, positive
2,535,1070.0,267.5,0.564,0.614,40.2,603,657,15, positive
2,536,1072.0,268.0,0.537,0.622,24.0,576,667,24, positive
2,536,1072.0,268.0,0.498,0.5329999999999999,41.08,534,571,13, positive
