Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans,Outcome
2,535,1070.0,267.5,0.648,0.92,11.75,693,984,59, positive
30,60,1800.0,2.0,0.154,0.457,1.85,278,823,150, positive
28,31,868.0,1.107,0.49200000000000005,0.745,7.49,427,647,57, positive
2,536,1072.0,268.0,0.532,0.5579999999999999,30.0,570,598,19, positive
2,535,1070.0,267.5,0.545,0.629,24.29,583,673,24, positive
3,536,1608.0,178.67,0.341,0.353,61.0,549,567,9, positive
32,106,3392.0,3.313,0.198,0.395,4.56,671,1341,147, positive
28,32,896.0,1.143,0.48100000000000004,0.742,7.43,431,665,58, positive
3,470,1410.0,156.67,0.35200000000000004,0.387,23.62,496,545,21, positive
2,64,128.0,32.0,0.43,0.602,3.93,55,77,14, positive
1,277,277.0,277.0,1.0,1.0,277.0,277,277,1, positive
1,257,257.0,257.0,1.0,1.0,257.0,257,257,1, positive
32,350,11200.0,10.937999999999999,0.142,0.402,3.96,1588,4497,401, positive
29,31,899.0,1.069,0.46299999999999997,0.726,6.93,416,653,60, positive
2,537,1074.0,268.5,0.507,0.528,181.33,544,567,3, positive
2,537,1074.0,268.5,0.594,0.655,21.27,638,703,30, positive
3,537,1611.0,179.0,0.345,0.405,22.24,556,652,25, positive
2,537,1074.0,268.5,0.51,0.534,49.82,548,574,11, positive
31,105,3255.0,3.387,0.242,0.456,4.89,787,1485,161, positive
28,32,896.0,1.143,0.488,0.743,7.05,437,666,62, positive
2,98,196.0,49.0,0.48,0.653,9.4,94,128,10, positive
2,415,830.0,207.5,0.505,0.578,16.76,419,480,25, positive
2,63,126.0,31.5,0.341,0.508,10.75,43,64,4, positive
2,475,950.0,237.5,0.504,0.544,95.8,479,517,5, positive
2,99,198.0,49.5,0.253,0.616,4.55,50,122,11, positive
2,537,1074.0,268.5,0.52,0.621,26.57,558,667,21, positive
1,537,537.0,537.0,1.0,1.0,537.0,537,537,1, positive
31,105,3255.0,3.387,0.22399999999999998,0.41700000000000004,5.35,728,1358,136, positive
28,32,896.0,1.143,0.462,0.722,7.02,414,647,59, positive
1,63,63.0,63.0,1.0,1.0,63.0,63,63,1, positive
1,186,186.0,186.0,0.828,1.0,9.06,154,186,17, positive
1,214,214.0,214.0,1.0,1.0,214.0,214,214,1, positive
1,62,62.0,62.0,0.9840000000000001,1.0,61.0,61,62,1, positive
1,148,148.0,148.0,0.986,1.0,73.0,146,148,2, positive
1,278,278.0,278.0,0.946,1.0,29.22,263,278,9, positive
1,26,26.0,26.0,1.0,1.0,26.0,26,26,1, positive
1,13,13.0,13.0,1.0,1.0,13.0,13,13,1, positive
1,145,145.0,145.0,0.972,1.0,35.25,141,145,4, positive
1,36,36.0,36.0,0.306,1.0,1.83,11,36,6, positive
1,81,81.0,81.0,0.9009999999999999,1.0,24.33,73,81,3, positive
1,187,187.0,187.0,0.963,1.0,25.71,180,187,7, positive
31,37,1147.0,1.194,0.18899999999999997,0.555,2.07,217,637,105, positive
2,538,1076.0,269.0,0.519,0.684,34.88,558,736,16, positive
2,538,1076.0,269.0,0.637,0.703,29.78,685,756,23, positive
2,537,1074.0,268.5,0.5379999999999999,0.555,82.57,578,596,7, positive
3,538,1614.0,179.33,0.37,0.424,22.11,597,685,27, positive
3,537,1611.0,179.0,0.353,0.364,71.13,569,587,8, positive
28,61,1708.0,2.1790000000000003,0.172,0.509,1.97,294,870,149, positive
28,31,868.0,1.107,0.508,0.767,7.47,441,666,59, positive
2,537,1074.0,268.5,0.621,0.747,16.68,667,802,40, positive
2,537,1074.0,268.5,0.5379999999999999,0.594,32.11,578,638,18, positive
2,537,1074.0,268.5,0.556,0.655,24.88,597,704,24, positive
30,61,1830.0,2.033,0.157,0.483,1.88,288,884,153, positive
29,32,928.0,1.103,0.47600000000000003,0.72,7.25,442,668,61, positive
2,537,1074.0,268.5,0.537,0.609,22.19,577,654,26, positive
2,538,1076.0,269.0,0.518,0.596,29.32,557,641,19, positive
2,537,1074.0,268.5,0.523,0.5670000000000001,62.44,562,609,9, positive
2,535,1070.0,267.5,0.55,0.586,117.8,589,627,5, positive
29,61,1769.0,2.103,0.121,0.431,1.78,214,762,120, positive
29,32,928.0,1.103,0.43200000000000005,0.6890000000000001,6.27,401,639,64, positive
3,500,1500.0,166.67,0.373,0.42100000000000004,19.28,559,632,29, positive
2,32,64.0,16.0,0.516,0.531,33.0,33,34,1, positive
2,536,1072.0,268.0,0.568,0.688,24.36,609,737,25, positive
2,536,1072.0,268.0,0.586,0.6859999999999999,21.66,628,735,29, positive
6,39,234.0,6.5,0.192,0.19699999999999998,45.0,45,46,1, positive
12,278,3336.0,23.166999999999998,0.11,0.14400000000000002,15.91,366,479,23, positive
1,22,22.0,22.0,0.955,1.0,21.0,21,22,1, positive
1,54,54.0,54.0,0.9440000000000001,1.0,17.0,51,54,3, positive
1,16,16.0,16.0,1.0,1.0,16.0,16,16,1, positive
153,158,24174.0,1.033,0.5870000000000001,0.6409999999999999,46.95,14180,15491,302, positive
83,277,22991.0,3.3369999999999997,0.18,0.365,6.86,4138,8387,603, positive
83,149,12367.0,1.795,0.38799999999999996,0.47200000000000003,28.77,4804,5838,167, positive
54,1,54.0,0.019,1.0,1.0,54.0,54,54,1, positive
39,1,39.0,0.026000000000000002,1.0,1.0,39.0,39,39,1, positive
38,1,38.0,0.026000000000000002,1.0,1.0,38.0,38,38,1, positive
1,25,25.0,25.0,1.0,1.0,25.0,25,25,1, positive
1,413,413.0,413.0,0.998,1.0,412.0,412,413,1, positive
1,15,15.0,15.0,0.867,1.0,13.0,13,15,1, positive
95,93,8835.0,0.9790000000000001,0.675,0.902,3.63,5966,7968,1644, positive
58,3,174.0,0.052000000000000005,0.33899999999999997,0.345,59.0,59,60,1, positive
1,180,180.0,180.0,0.983,1.0,88.5,177,180,2, positive
1,22,22.0,22.0,0.818,1.0,4.5,18,22,4, positive
1,11,11.0,11.0,1.0,1.0,11.0,11,11,1, positive
1,7,7.0,7.0,1.0,1.0,7.0,7,7,1, positive
1,10,10.0,10.0,0.8,1.0,4.0,8,10,2, positive
53,1,53.0,0.019,1.0,1.0,53.0,53,53,1, positive
54,1,54.0,0.019,1.0,1.0,54.0,54,54,1, positive
93,104,9672.0,1.1179999999999999,0.451,0.611,4.25,4366,5908,1028, positive
37,1,37.0,0.027000000000000003,1.0,1.0,37.0,37,37,1, positive
42,1,42.0,0.024,1.0,1.0,42.0,42,42,1, positive
34,1,34.0,0.028999999999999998,1.0,1.0,34.0,34,34,1, positive
1,379,379.0,379.0,0.963,1.0,60.83,365,379,6, positive
31,1,31.0,0.032,1.0,1.0,31.0,31,31,1, positive
22,1,22.0,0.045,1.0,1.0,22.0,22,22,1, positive
1,14,14.0,14.0,0.643,1.0,3.0,9,14,3, positive
2,16,32.0,8.0,0.25,0.531,2.67,8,17,3, positive
1,19,19.0,19.0,0.579,1.0,3.67,11,19,3, positive
1,136,136.0,136.0,0.963,1.0,32.75,131,136,4, positive
1,11,11.0,11.0,0.909,1.0,10.0,10,11,1, positive
1,12,12.0,12.0,0.75,1.0,9.0,9,12,1, positive
1,14,14.0,14.0,0.643,1.0,4.5,9,14,2, positive
1,15,15.0,15.0,0.733,1.0,3.67,11,15,3, positive
1,14,14.0,14.0,1.0,1.0,14.0,14,14,1, positive
1,104,104.0,104.0,0.971,1.0,50.5,101,104,2, positive
1,29,29.0,29.0,0.9309999999999999,1.0,13.5,27,29,2, positive
1,78,78.0,78.0,0.9490000000000001,1.0,24.67,74,78,3, positive
4,9,36.0,2.25,0.611,0.611,22.0,22,22,1, positive
168,145,24360.0,0.863,0.7979999999999999,0.963,13.06,19430,23457,1488, positive
83,314,26062.0,3.783,0.298,0.6709999999999999,8.75,7772,17482,888, positive
1,36,36.0,36.0,0.583,1.0,5.25,21,36,4, positive
1,18,18.0,18.0,0.5,1.0,3.0,9,18,3, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
14,1,14.0,0.071,1.0,1.0,14.0,14,14,1, positive
187,137,25619.0,0.733,0.899,0.991,29.29,23025,25400,786, positive
54,357,19278.0,6.611000000000001,0.299,0.655,6.4,5766,12626,901, positive
1,117,117.0,117.0,0.9740000000000001,1.0,38.0,114,117,3, positive
1,47,47.0,47.0,0.532,1.0,25.0,25,47,1, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
11,1,11.0,0.091,1.0,1.0,11.0,11,11,1, positive
132,547,72204.0,4.144,0.37,0.483,20.66,26693,34874,1292, positive
1,52,52.0,52.0,0.9620000000000001,1.0,25.0,50,52,2, positive
25,169,4225.0,6.76,0.215,0.9470000000000001,1.57,907,4000,579, positive
1,27,27.0,27.0,0.259,1.0,1.4,7,27,5, positive
1,39,39.0,39.0,0.308,1.0,1.71,12,39,7, positive
1,34,34.0,34.0,0.353,1.0,1.71,12,34,7, positive
3,106,318.0,35.333,0.258,0.34,6.31,82,108,13, positive
1,28,28.0,28.0,0.536,1.0,3.0,15,28,5, positive
1,255,255.0,255.0,0.6859999999999999,1.0,4.86,175,255,36, positive
1,10,10.0,10.0,1.0,1.0,10.0,10,10,1, positive
1,9,9.0,9.0,0.889,1.0,8.0,8,9,1, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
178,140,24920.0,0.787,0.574,0.649,21.52,14292,16177,664, positive
54,357,19278.0,6.611000000000001,0.324,0.644,6.22,6238,12422,1003, positive
20,1,20.0,0.05,1.0,1.0,20.0,20,20,1, positive
25,1,25.0,0.04,1.0,1.0,25.0,25,25,1, positive
1,19,19.0,19.0,0.632,1.0,4.0,12,19,3, positive
1,44,44.0,44.0,0.727,1.0,5.33,32,44,6, positive
1,14,14.0,14.0,1.0,1.0,14.0,14,14,1, positive
10,1,10.0,0.1,1.0,1.0,10.0,10,10,1, positive
18,1,18.0,0.055999999999999994,1.0,1.0,18.0,18,18,1, positive
8,1,8.0,0.125,1.0,1.0,8.0,8,8,1, positive
27,1,27.0,0.037000000000000005,1.0,1.0,27.0,27,27,1, positive
31,1,31.0,0.032,1.0,1.0,31.0,31,31,1, positive
8,1,8.0,0.125,1.0,1.0,8.0,8,8,1, positive
1,30,30.0,30.0,0.4,1.0,2.4,12,30,5, positive
1,94,94.0,94.0,0.564,1.0,3.31,53,94,16, positive
1,193,193.0,193.0,0.57,1.0,2.97,110,193,37, positive
128,347,44416.0,2.7110000000000003,0.39899999999999997,0.5670000000000001,13.07,17721,25163,1356, positive
1,159,159.0,159.0,0.975,1.0,77.5,155,159,2, positive
12,1,12.0,0.083,1.0,1.0,12.0,12,12,1, positive
12,1,12.0,0.083,1.0,1.0,12.0,12,12,1, positive
168,135,22680.0,0.804,0.82,0.904,62.81,18591,20513,296, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
83,315,26145.0,3.795,0.295,0.594,9.21,7725,15523,839, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
1,32,32.0,32.0,0.469,1.0,1.88,15,32,8, positive
7,14,98.0,2.0,0.102,0.204,10.0,10,20,1, positive
166,472,78352.0,2.843,0.359,0.547,17.12,28093,42821,1641, positive
1,15,15.0,15.0,0.5329999999999999,1.0,2.0,8,15,4, positive
13,1,13.0,0.077,1.0,1.0,13.0,13,13,1, positive
174,471,81954.0,2.707,0.33899999999999997,0.433,15.84,27820,35499,1756, positive
1,63,63.0,63.0,0.5870000000000001,1.0,2.31,37,63,16, positive
1,42,42.0,42.0,0.19,1.0,1.6,8,42,5, positive
47,1,47.0,0.021,1.0,1.0,47.0,47,47,1, positive
83,326,27058.0,3.928,0.28600000000000003,0.6709999999999999,7.55,7741,18149,1025, positive
72,96,6912.0,1.3330000000000002,0.488,0.5820000000000001,15.69,3374,4025,215, positive
1,28,28.0,28.0,0.46399999999999997,1.0,2.17,13,28,6, positive
16,1,16.0,0.063,1.0,1.0,16.0,16,16,1, positive
163,161,26243.0,0.988,0.523,0.897,8.4,13725,23547,1634, positive
83,314,26062.0,3.783,0.282,0.619,8.77,7353,16139,838, positive
186,469,87234.0,2.522,0.37799999999999995,0.529,22.29,33017,46133,1481, positive
187,141,26367.0,0.754,0.415,0.884,4.69,10947,23301,2333, positive
1,23,23.0,23.0,0.348,1.0,1.6,8,23,5, positive
1,14,14.0,14.0,0.5,1.0,2.33,7,14,3, positive
1,45,45.0,45.0,0.244,1.0,1.38,11,45,8, positive
5,2,10.0,0.4,0.9,0.9,9.0,9,9,1, positive
14,2,28.0,0.14300000000000002,0.536,0.536,15.0,15,15,1, positive
11,2,22.0,0.182,0.636,0.636,14.0,14,14,1, positive
4,2,8.0,0.5,1.0,1.0,8.0,8,8,1, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
24,510,12240.0,21.25,0.846,0.927,38.65,10359,11341,268, positive
6,21,126.0,3.5,0.198,0.444,1.67,25,56,15, positive
197,198,39006.0,1.005,0.273,0.332,46.93,10654,12964,227, positive
3,541,1623.0,180.33,0.71,0.747,88.62,1152,1213,13, positive
84,1,84.0,0.012,1.0,1.0,84.0,84,84,1, positive
117,1,117.0,0.009000000000000001,1.0,1.0,117.0,117,117,1, positive
136,1,136.0,0.006999999999999999,0.993,1.0,135.0,135,136,1, positive
37,1,37.0,0.027000000000000003,1.0,1.0,37.0,37,37,1, positive
160,286,45760.0,1.788,0.201,0.226,55.42,9199,10347,166, positive
91,285,25935.0,3.1319999999999997,0.158,0.165,113.89,4100,4287,36, positive
64,73,4672.0,1.141,0.40299999999999997,0.445,72.38,1882,2077,26, positive
63,66,4158.0,1.048,0.491,0.591,44.37,2041,2458,46, positive
65,50,3250.0,0.769,0.45399999999999996,0.48700000000000004,245.83,1475,1582,6, positive
63,79,4977.0,1.254,0.33799999999999997,0.345,186.78,1681,1718,9, positive
32,1,32.0,0.031,1.0,1.0,32.0,32,32,1, positive
4,108,432.0,27.0,0.778,0.826,56.0,336,357,6, positive
1,20,20.0,20.0,0.75,1.0,3.0,15,20,5, positive
11,252,2772.0,22.909000000000002,0.092,0.095,63.75,255,262,4, positive
430,5,2150.0,0.012,0.21600000000000003,0.221,46.5,465,475,10, positive
10,1,10.0,0.1,0.9,1.0,9.0,9,10,1, positive
8,1,8.0,0.125,1.0,1.0,8.0,8,8,1, positive
1,63,63.0,63.0,0.9520000000000001,1.0,20.0,60,63,3, positive
1,76,76.0,76.0,0.961,1.0,36.5,73,76,2, positive
1,102,102.0,102.0,0.961,1.0,24.5,98,102,4, positive
5,128,640.0,25.6,0.759,0.764,162.0,486,489,3, positive
7,2,14.0,0.28600000000000003,0.643,0.7140000000000001,9.0,9,10,1, positive
5,280,1400.0,56.0,0.78,0.7859999999999999,156.0,1092,1100,7, positive
105,2,210.0,0.019,0.529,0.5329999999999999,111.0,111,112,1, positive
5,2,10.0,0.4,0.7,0.7,7.0,7,7,1, positive
11,427,4697.0,38.818000000000005,0.5660000000000001,0.57,189.79,2657,2676,14, positive
5,110,550.0,22.0,0.547,0.556,100.33,301,306,3, positive
11,552,6072.0,50.181999999999995,0.816,0.816,4955.0,4955,4955,1, positive
1,283,283.0,283.0,0.993,1.0,140.5,281,283,2, positive
1,184,184.0,184.0,0.9670000000000001,1.0,44.5,178,184,4, positive
1,16,16.0,16.0,0.938,1.0,15.0,15,16,1, positive
3,550,1650.0,183.33,0.32899999999999996,0.375,27.15,543,619,20, positive
1,235,235.0,235.0,0.9229999999999999,1.0,27.13,217,235,8, positive
1,58,58.0,58.0,0.845,1.0,9.8,49,58,5, positive
1,12,12.0,12.0,0.667,1.0,4.0,8,12,2, positive
1,69,69.0,69.0,0.667,1.0,4.18,46,69,11, positive
1,107,107.0,107.0,0.8690000000000001,1.0,18.6,93,107,5, positive
3,550,1650.0,183.33,0.33899999999999997,0.401,15.11,559,662,37, positive
3,463,1389.0,154.33,0.29600000000000004,0.382,13.7,411,531,30, positive
1,85,85.0,85.0,0.882,1.0,12.5,75,85,6, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
3,544,1632.0,181.33,0.326,0.406,16.12,532,662,33, positive
1,17,17.0,17.0,1.0,1.0,17.0,17,17,1, positive
1,206,206.0,206.0,0.99,1.0,204.0,204,206,1, positive
2,325,650.0,162.5,0.485,0.537,28.64,315,349,11, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
1,17,17.0,17.0,1.0,1.0,17.0,17,17,1, positive
1,277,277.0,277.0,0.993,1.0,137.5,275,277,2, positive
1,199,199.0,199.0,0.945,1.0,37.6,188,199,5, positive
10,553,5530.0,55.3,0.797,0.884,21.3,4409,4890,207, positive
3,259,777.0,86.333,0.96,0.978,67.82,746,760,11, positive
1,34,34.0,34.0,0.47100000000000003,1.0,1.07,16,34,15, positive
118,105,12390.0,0.89,0.052000000000000005,0.105,3.33,642,1296,193, positive
2,100,200.0,50.0,0.46,0.505,11.5,92,101,8, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
2,52,104.0,26.0,0.231,0.529,1.5,24,55,16, positive
1,161,161.0,161.0,0.41,1.0,1.02,66,161,65, positive
158,167,26386.0,1.057,0.16,0.276,8.24,4213,7279,511, positive
11,48,528.0,4.364,0.237,0.39,7.35,125,206,17, positive
1,71,71.0,71.0,0.521,1.0,2.31,37,71,16, positive
1,20,20.0,20.0,0.55,1.0,1.38,11,20,8, positive
1,172,172.0,172.0,0.465,1.0,1.04,80,172,77, positive
1,106,106.0,106.0,0.434,1.0,1.02,46,106,45, positive
1,288,288.0,288.0,0.424,1.0,1.02,122,288,120, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
1,95,95.0,95.0,1.0,1.0,95.0,95,95,1, positive
1,67,67.0,67.0,0.985,1.0,66.0,66,67,1, positive
1,10,10.0,10.0,1.0,1.0,10.0,10,10,1, positive
17,341,5797.0,20.059,0.935,0.998,36.38,5420,5784,149, positive
1,138,138.0,138.0,1.0,1.0,138.0,138,138,1, positive
17,342,5814.0,20.118,0.9159999999999999,0.996,30.27,5328,5790,176, positive
1,126,126.0,126.0,0.992,1.0,125.0,125,126,1, positive
18,342,6156.0,19.0,0.847,0.897,43.48,5217,5522,120, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
2,25,50.0,12.5,0.36,1.0,4.5,18,50,4, positive
2,24,48.0,12.0,0.354,1.0,3.4,17,48,5, positive
2,21,42.0,10.5,0.452,1.0,6.33,19,42,3, positive
2,22,44.0,11.0,0.47700000000000004,1.0,21.0,21,44,1, positive
1,196,196.0,196.0,0.98,1.0,64.0,192,196,3, positive
10,1,10.0,0.1,1.0,1.0,10.0,10,10,1, positive
8,1,8.0,0.125,1.0,1.0,8.0,8,8,1, positive
2,199,398.0,99.5,0.485,0.508,32.17,193,202,6, positive
1,159,159.0,159.0,0.9940000000000001,1.0,158.0,158,159,1, positive
1,199,199.0,199.0,0.99,1.0,197.0,197,199,1, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
8,231,1848.0,28.875,0.872,0.882,179.0,1611,1630,9, positive
1,70,70.0,70.0,1.0,1.0,70.0,70,70,1, positive
1,14,14.0,14.0,1.0,1.0,14.0,14,14,1, positive
7,1,7.0,0.14300000000000002,1.0,1.0,7.0,7,7,1, positive
9,1,9.0,0.111,1.0,1.0,9.0,9,9,1, positive
1,70,70.0,70.0,0.943,1.0,22.0,66,70,3, positive
1,9,9.0,9.0,1.0,1.0,9.0,9,9,1, positive
1,131,131.0,131.0,0.977,1.0,64.0,128,131,2, positive
2,62,124.0,31.0,0.452,0.565,11.2,56,70,5, positive
1,20,20.0,20.0,0.85,1.0,8.5,17,20,2, positive
1,87,87.0,87.0,0.92,1.0,16.0,80,87,5, positive
1,279,279.0,279.0,0.9640000000000001,1.0,38.43,269,279,7, positive
1,16,16.0,16.0,1.0,1.0,16.0,16,16,1, positive
4,524,2096.0,131.0,0.542,0.603,40.57,1136,1264,28, positive
